"Taxon","-14","-7","0","1","2","7","13"
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae",NA,NA,NA,NA,NA,NA,NA
"k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae",NA,NA,NA,NA,NA,NA,NA
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__S24-7",NA,NA,NA,NA,NA,NA,NA
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__",NA,NA,NA,NA,NA,NA,NA
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae",NA,NA,NA,NA,NA,NA,NA
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;Other",NA,NA,NA,NA,NA,NA,NA
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae",NA,NA,NA,NA,NA,NA,NA
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae",NA,NA,NA,NA,NA,NA,NA
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Turicibacterales;f__Turicibacteraceae",NA,NA,NA,NA,NA,NA,NA
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__",NA,NA,NA,NA,NA,NA,NA
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae",NA,NA,NA,NA,NA,NA,NA
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae",NA,NA,NA,NA,NA,NA,NA
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae",NA,NA,NA,NA,NA,NA,NA
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae",NA,NA,NA,NA,NA,NA,NA
"k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae",NA,NA,NA,NA,NA,NA,NA
"k__Bacteria;p__Tenericutes;c__Mollicutes;o__Anaeroplasmatales;f__Anaeroplasmataceae",NA,NA,NA,NA,NA,NA,NA
"k__Bacteria;p__Tenericutes;c__Mollicutes;o__RF39;f__",NA,NA,NA,NA,NA,NA,NA
"k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae",NA,NA,NA,NA,NA,NA,NA
